algorithm,linkage,n_clusters,configuration,n_clusters_found,silhouette_score,davies_bouldin_index,calinski_harabasz_score,used_sampling,sampling_strategy,original_size,sample_size
agglomerative,ward,2,ward_k_2,2,0.160300575862264,2.3379068654883497,1243.3176650694718,True,stratified,253680,10000
agglomerative,ward,3,ward_k_3,3,0.08518148039025669,2.838276819442072,1041.5835859206536,True,stratified,253680,10000
agglomerative,ward,4,ward_k_4,4,0.07897133263979829,2.5570082757751242,919.5836062896956,True,stratified,253680,10000
agglomerative,ward,5,ward_k_5,5,0.0615661474246561,2.565189917315666,811.561602115841,True,stratified,253680,10000
agglomerative,ward,6,ward_k_6,6,0.06591898689544017,2.6154131420547917,738.5886789626036,True,stratified,253680,10000
agglomerative,ward,7,ward_k_7,7,0.06853371133708035,2.5399082161078934,690.6990207154204,True,stratified,253680,10000
agglomerative,ward,8,ward_k_8,8,0.06347145546404331,2.4747788814249745,660.3411193825416,True,stratified,253680,10000
agglomerative,ward,9,ward_k_9,9,0.0668585739982747,2.4725654259737597,618.7241280807885,True,stratified,253680,10000
agglomerative,ward,10,ward_k_10,10,0.04951049185603558,2.3868088430336085,585.2933854635841,True,stratified,253680,10000
agglomerative,complete,2,complete_k_2,2,0.14621642300707102,2.412285797134278,637.2829747507227,True,stratified,253680,10000
agglomerative,complete,3,complete_k_3,3,0.1174480818135602,2.427098859053578,374.8942551024971,True,stratified,253680,10000
agglomerative,complete,4,complete_k_4,4,0.10060636921296441,3.307605989430032,505.1214056087467,True,stratified,253680,10000
agglomerative,complete,5,complete_k_5,5,0.07578393441694828,3.204849753756227,469.23161220939215,True,stratified,253680,10000
agglomerative,complete,6,complete_k_6,6,0.03626068126875286,3.7042242942761274,440.8567565867135,True,stratified,253680,10000
agglomerative,complete,7,complete_k_7,7,0.017813401441159893,3.485052430742134,446.56079419381484,True,stratified,253680,10000
agglomerative,complete,8,complete_k_8,8,0.016956008559289613,3.4785971284905504,427.1964400116025,True,stratified,253680,10000
agglomerative,complete,9,complete_k_9,9,0.015574661981423378,3.37863780895842,386.0545572683911,True,stratified,253680,10000
agglomerative,complete,10,complete_k_10,10,0.01829556432262688,3.2255721944316336,371.2518020095162,True,stratified,253680,10000
agglomerative,average,2,average_k_2,2,0.18145349208173353,1.9639711617099815,935.0690487059552,True,stratified,253680,10000
agglomerative,average,3,average_k_3,3,0.13669445997513766,2.5095006151639514,598.145338000125,True,stratified,253680,10000
agglomerative,average,4,average_k_4,4,0.11958640498880986,2.31291319164321,404.28941062476525,True,stratified,253680,10000
agglomerative,average,5,average_k_5,5,0.09904713930635688,2.1203276830127478,322.2519137698699,True,stratified,253680,10000
agglomerative,average,6,average_k_6,6,0.09213869528060625,2.0406817085708955,259.14265806223256,True,stratified,253680,10000
agglomerative,average,7,average_k_7,7,0.08722119481637264,1.9669065254483427,217.96027528754558,True,stratified,253680,10000
agglomerative,average,8,average_k_8,8,0.06175515645146532,1.8956901598833746,187.79909297973933,True,stratified,253680,10000
agglomerative,average,9,average_k_9,9,0.051639378482589406,1.8919836069622238,168.65335533628317,True,stratified,253680,10000
agglomerative,average,10,average_k_10,10,0.06145171936635133,2.003372525227518,224.88185546819898,True,stratified,253680,10000
agglomerative,single,2,single_k_2,2,0.2119435047507543,0.6598646551488994,2.227136914625087,True,stratified,253680,10000
agglomerative,single,3,single_k_3,3,0.14348666655097514,0.6751999747901372,2.1534082422883074,True,stratified,253680,10000
agglomerative,single,4,single_k_4,4,0.13585112862371865,0.7648320540547431,3.0515175992901593,True,stratified,253680,10000
agglomerative,single,5,single_k_5,5,0.10076897106519647,0.7509875736837728,2.7896781807590623,True,stratified,253680,10000
agglomerative,single,6,single_k_6,6,0.051003265517923405,0.7455321600648093,2.6077661805004495,True,stratified,253680,10000
agglomerative,single,7,single_k_7,7,0.03479261995775529,0.7399112891691212,2.4971872457725692,True,stratified,253680,10000
agglomerative,single,8,single_k_8,8,0.023043591997190298,0.7327827316767529,2.4374324564820617,True,stratified,253680,10000
agglomerative,single,9,single_k_9,9,0.012011555354678294,0.7283033061740879,2.3855538049652942,True,stratified,253680,10000
agglomerative,single,10,single_k_10,10,0.0009305525703249856,0.7312758056916199,2.3079416490563895,True,stratified,253680,10000
